,item_index,name,description,description_alt
66,,Action,Nature et intensité de l'action entreprise par le télépathe. L'intensité peut être l'ampleur des changements opérés par le télépathe ainsi que leur durabilité dans le temps,
67,,Analyse,,
68,0,non nécessaire,sous-liste non pertinente,
69,1,Constat binaire,"Présent/absent, vrai/faux, actif/inactif",
70,2,Observation d'état,"Intensité, qualité générale",
71,3,Observation de contenu,"Détails spécifiques, nuances",
72,4,Cartographie structurelle,"Relations entre éléments, patterns",
73,5,Analyse archéologique,"Reconstruction de l'historique, origines",
74,,Influence,,
75,0,non nécessaire,sous-liste non pertinente,
76,1,Suggestion simple,"Idée unique, claire, non-contraignante",
77,2,Activation,Déclenchement basique pouvant impliquer un effort momentané,
78,3,Suggestion complexe,"Idée nuancée, conditionnelle",
79,4,Occulter,Rendre une information temporairement inaccessible,
80,5,Modification durable,Implanter un changement,
81,,Attaque,,
82,0,non nécessaire,sous-liste non pertinente,
83,1,Distraction,"Briser la concentration, créer du bruit",
84,2,Engourdir,Ralentir un processus,
85,3,Empêcher,Bloquer une action/pensée spécifique,
86,4,Surcharge,Saturer un système,
87,5,Détruire,Dommages permanents,
88,,Protection,,
89,0,non nécessaire,sous-liste non pertinente,
90,1,Isoler,Créer une barrière contre influences externes,
91,2,Renforcer,Amplifier une capacité/résistance existante,
92,3,Stabiliser,"Calmer un état perturbé, restaurer l'équilibre",
93,4,Réparer,"Guérir un trauma psychique, restaurer une mémoire",
94,5,Restructurer,Reconfigurer profondément des patterns mentaux,
95,,télékinésie,"Discipline permettant d'explorer le monde physique par la pensée, de sélectionner des corps matériels et de leur appliquer des forces selon certains modes d'interaction. De la même manière qu'un individu peut bouger ses membres et donner une certaine qualité à ses geste, le télékinésiste peut étendre ce contrôle à son environnement",
96,,Sélection,"Sélection d'un corps matériel. La complexité, la distance, à la fois littérale que figurative, et le niveau d'énergie viennent influencer la capacité du télékinésiste à trouver sa cible dans l'espace",
97,,Complexité,,
98,0,non nécessaire,sous-liste non pertinente,
99,1,Objet homogène,"Matériau uniforme (bille, barre)",
100,2,Objet composite,"Plusieurs matériaux assemblés (chaise, outil)",
101,3,Mécanisme simple,"Pièces mobiles basiques (porte, levier)",
102,4,Système complexe,"Multiples composants interdépendants (horloge, serrure)",
103,5,Organisme vivant,Tissus biologiques,
104,,Proximité,,
105,0,non nécessaire,sous-liste non pertinente,
106,1,Objet intime,manipulé tous les jours,au contact de la peau
107,2,Objet familier,objet spécifique souvent perçu,en ligne de vue directe proche (détails perceptibles)
108,3,Objet connu,objet commun non-spécifique fréquemment utilisé,en ligne de vue directe lointaine
109,4,Objet distant,objet dont l’existence est connue,objet dont la localisation est connue
110,5,Objet inconnu,objet dont l’existence est inconnue (particules et cellules incluses),objet dont la localisation est inconnue
111,,Matériel,,
112,0,non nécessaire,sous-liste non pertinente,
113,1,Solides,Solides,
114,2,Liquides,Liquides,
115,3,Gaz,Gaz,
116,4,Matériaux,Matériaux,
117,5,Éléments,Éléments,
118,,Énergie,,
119,0,non nécessaire,sous-liste non pertinente,
120,1,Basse,"cinétique et température basse, basse densité, faibles rayonnements",
121,2,Densité,objets denses,
122,3,Cinétique,objets lourds et/ou rapides,
123,4,Thermique,objets chauds,
124,5,Rayonnant,objets émettant des rayonnements spécifiques/particules,
125,,Interaction,Nature de l'effet appliqué par le télékinésiste. L'échelle et la compléxité de l'effet sont les principales sources de la difficulté d'un interaction télékinétique,
126,,Mécanique Différentielle,,
127,0,non nécessaire,sous-liste non pertinente,
128,1,Saisir,Forces multiples aux directions et intensités variables pour les tâches manuelles de base,
129,2,Cisailler,Forces opposées décalées de part et d’autre d’un plan central,
130,3,Comprimer,Forces uniformes dirigées vers un point central,
131,4,Exploser,Forces uniformes opposées à un point central,
132,5,Manipuler,Forces multiples aux directions et intensités variables pour les tâches minutieuses,
133,,Mécanique Microscopique,,
134,0,non nécessaire,sous-liste non pertinente,
135,1,Répandre,Dispersion contrôlée des éléments constitutifs dans l'espace environnant,
136,2,Extraire,Isolation et retrait ciblé de composants spécifiques,
137,3,Osciller,"Induction de vibrations ou mouvements périodiques (sons, chaleur)",
138,4,Recombiner,Réarrangement et réassemblage des éléments constitutifs selon de nouvelles configurations,
139,5,Désintégrer,Rupture complète des liaisons maintenant la cohésion de la matière,
140,,Mécanique de Rayonnements,,
141,0,non nécessaire,sous-liste non pertinente,
142,1,Dévier,Modification de la trajectoire des rayonnements sans altération de leurs propriétés intrinsèques,
143,2,Diffuser,Dispersion spatiale multidirectionnelle des rayonnements,
144,3,Moduler,"Altération contrôlée des propriétés des rayonnements (fréquence, intensité, phase, polarisation)",
145,4,Absorber,Capture et neutralisation totale ou partielle des rayonnements,
146,5,Concentrer,Focalisation et intensification spatiale des rayonnements vers un point ou volume réduit,
147,,Mécanique Macroscopique,,
148,0,non nécessaire,sous-liste non pertinente,
149,1,Attirer,Force ramenant l’objet vers la main du parapsy,
150,2,Lancer,Force unique déplaçant l’objet dans n’importe quelle direction,
151,3,Mitrailler,Comme « Attirer » et « Lancer » mais avec plusieurs objets dont la sélection est identique,
152,4,Fixer,Rendre constante la distance entre deux objets sélectionnés,
153,5,Tordre,Force rotatives autour d’un point central,
154,,Mécanique Spatiale,,
155,0,non nécessaire,sous-liste non pertinente,
156,1,Déformer,"Modification des proportions d’un objet selon un ou plusieurs axes (si personne déformée, réduction des distances)",
157,2,Visiter,"Sans échange massique équivalent, déplacement éphémère de l’objet dans un lieu sélectionné de la même manière qu’un potentiel objet par la liste « proximité »",
158,3,Échanger,"Avec un échange de masse équivalent, déplacement définitif",
159,4,Grouper,Listes précédentes possibles avec plusieurs objets dont la sélection est identique,
160,5,Disparaître,"Accès au non-espace, transport possible via les options précédentes dans une dimension où le temps ne se déroule pas. Définitif impossible car pas de matière à échanger sur place",
161,,Application,"Modalités de l'action télékinétique. Vient proposer différentes options relatives à l'intensité, la temporalité, et l'énergie nécessaire à l'effet télékinétique",
162,,Intensité,,
163,0,non nécessaire,sous-liste non pertinente,
164,1,Analyse,Force minimale à visée diagnostique et exploratoire,
165,2,Faible,Force de manipulation délicate,
166,3,Moyenne,Force d'usage courant et contrôlé,
167,4,Forte,Force d'impact significatif et d'effet marqué,
168,5,Brutale,Force maximale aux effets destructeurs,
169,,Temporalité,,
170,0,non nécessaire,sous-liste non pertinente,
171,1,Force éphémère,L’interaction s’arrête après un laps de temps,
172,2,Force continue,L’interaction est maintenue tant que le parapsy est concentré,
173,3,Force instantanée,Pic d'énergie unique très bref,
174,4,Force libre,"s’allume et s’éteint au gré du parapsychologies, sans test supplémentaire",
175,5,Force définitive,Pas de limite temporelle (parapsy conscient),
176,,Déclenchement,,
177,0,non nécessaire,sous-liste non pertinente,
178,1,Déclenchement immédiat,"Base, déclenchement au moment où la faculté est conçue",
179,2,Déclenchement retardé,Déclenchement après durée déterminée,
180,3,Déclenchement séquentiel,Activation synchronisée de plusieurs effets,
181,4,Déclenchement simultané,Activation planifiée de plusieurs effets,
182,5,Déclenchement automatique,"Activation conditionnelle lors d'un événement spécifique (contact, proximité, etc.)",
183,,Source,,
184,0,non nécessaire,sous-liste non pertinente,
185,1,Énergie personnelle,Le corps du Parapsy fournit l’énergie via ses muscles,
186,2,Énergie relative, L’énergie est copiée d’un autre objet (même propriétés),
187,3,Énergie transformée,"L’énergie provient du corps du parapsy ou d’un second objet, mais les directions peuvent être contrôlées (conversion des propriétés)",
188,4,Énergie multiple,L’énergie provient de plusieurs corps physiques,
189,5,Énergie psychique,"La totalité de l’énergie est issue de la psyché du parapsy, aucune copie d’objet réel n’est nécessaire",
