;item_type;name;description;description_alt;quantitative_effect;
52;sublist;Système Nerveux Moteur;Partie du système nerveux responsable de la planification, du contrôle et de l'exécution des mouvements volontaires et involontaires par l'activation des muscles squelettiques, lisses et cardiaques;;;
53;0;Conscience de surface;Le Télépathe n'a pas besoin de cet Accès, soit parce que sa pertinence est nulle, soit parce que sa pertinence est négligeable par rapport à celle d’un autre Accès, soit parce que le Télépathe n’a besoin que de vérifier que sa cible existe.;;;
54;1;Grands muscles volontaires;Le Télépathe accède aux nerfs moteurs responsables individuels de mouvements amples, comme le biceps, le grand dorsal, etc.;;Système Nerveux pour action impliquant la Caractéristique;
55;2;Petits muscles volontaires;Le Télépathe accède aux nerfs moteurs responsables individuels de mouvements précis, comme les doigts, la langue, les yeux, etc.;;Système Nerveux;
56;3;Noyaux postural;Le Télépathe touche à la conception automatique de mouvements complexes conscients, comme la marche automatique, la parole, la saisie manuelle, etc.;;Malus de Qualité associée la Caractéristique;
57;4;Muscles semi-autonomes;Le Télépathe atteint le centre des mouvements automatiques constants, comme la respiration ou la déglutition.;;Bonus de Qualité associée la Caractéristique;
58;5;Muscles autonomes;Le Télépathe accède au système musculaire inconscient responsable de la digestion et le système cardio-vasculaire.;;Valeur de la Caractéristique;
59;sublist;Système Ethéré;Le système paraphysique distinct du système nerveux, comparable à l'âme, contenant des informations sur l'identité d'un individu au sens métaphysique, génétique et historique, qui se manifeste sous la forme de deux ailes nervurées invisibles à l'oeil nu et dont l’apparence est unique telle l'empreinte digitale. Une fois détecté, ce système permet une localisation géographique du corps physique de son propriétaire. Cette sous-liste est pertinente uniquement si l'Ether, les informations génétiques ou les capacités surnaturelles de la cible sont explicitement mentionnées.;;;
60;0;Non nécessaire;Le Télépathe n'a pas accès à l’Ether de sa cible, il n’en perçoit absolument rien.;Le Télépathe n'a pas accès à l’Ether de sa cible, il n’en perçoit absolument rien.;;
61;1;Information identitaire;Le Télépathe perçoit les ailes de l’Ether sans aucun détail, comme un brouillard incolore ténu. La cible devient visible uniquement si le Télépathe lui fait directement face.;Le Télépathe accède uniquement à la l’existence métaphysique, cela ne permet qu’un constat sur la présence de la cible, “présence” prenant ici n’importe quelle définition.;Distance maximum de localisation: SENSIBILITÉ;
62;2;Couverture spatiale;Le Télépathe peut associer une notion de taille aux ailes de l’Ether mais aucune autre information. Le Télépathe peut localiser sa cible, quelque soit la position de sa cible autour de lui.;Le Télépathe accède à l'identité sociale immédiate de sa cible, qui représente son “rôle” dans sa situation actuelle, ses intentions, sa place dans le groupe, etc.;Distance maximum de localisation: SENSIBILITÉ;
63;3;Réponse fréquentielle;Le Télépathe distingue la teinte de l’Ether, qui lui apparaît comme deux ailes floues colorées. Une fois sa cible détectée, le Télépathe peut la localiser à travers des surfaces opaques mais uniquement face à lui.;Le Télépathe accède à l’identité parapsychique de sa cible, l’étendue de son éveil aux capacités parapsychologiques.;Distance maximum de localisation: SENSIBILITÉ;
64;4;Extrémités individuelles;Les contours de l’Ether se précise pour le Télépathe, et se présente comme deux ailes colorées de tailles variables dont la surface apparaît homogène. Le Télépathe peut le trouver quelle que soit la direction, et même à travers les matériaux opaques.;Le Télépathe accède à l’identité génétique de sa cible.;Distance maximum de localisation: SENSIBILITÉ;
65;5;Structure métaphysique;Le Télépathe a accès à la totalité des détails de l’Ether, jusqu’au complexe réseau de striures qui en compose la surface. Il peut percevoir la position géographique de sa cible sans limite de distance, d’obstacle ou de direction.;Le Télépathe à la totalité des composants qui font l’unicité de sa cible. Il peut, en quelque sorte, entamer une conversation métatextuelle avec le Maître de Jeu à propos de la cible, bien que celui-ci aie bien sûr le dernier mot.;;
66;list;Action;Nature et intensité de l'action entreprise par le télépathe. L'intensité peut être l'ampleur des changements opérés par le télépathe ainsi que leur durabilité dans le temps;;;
67;sublist;Analyse;Exploration passive et indetectable du système visé permettant uniquement l'acquisition d'informations. Toute action impliquant une connaissance du contenu ou de l'état du système visé dont le télépathe ne dispose pas en premier lieu doit avoir un composant d'Analyse.;;;
68;0;À l’aveugle;Aucune observation n’est faite, que ce soit parce qu’elle ne serait pas nécessaire ou parce que le Télépathe est déjà en possession de toutes les informations dont il a besoin.;;;
69;1;Constat binaire;Le Télépathe peut faire une mesure simple sur le système ciblé, s’apparentant à une question fermée. La réponse peut être oui ou non.;;;
70;2;Observation d'état;Le Télépathe peut faire une mesure simple sur le système ciblé, dont le résultat est une grandeur continue, comme un pourcentage, ou juste un adjectif d’intensité.;;;
71;3;Observation de contenu;Le Télépathe peut faire une analyse simple sur le système ciblé, et en ressortir n’importe quelle information contenue par ce système.;;;
72;4;Cartographie structurelle;Le Télépathe peut faire une analyse complexe sur le système ciblé et retirer des informations à son propos, sur son fonctionnement ou son état, même si ces informations lui sont inaccessibles.;;;
73;5;Analyse archéologique;Le Télépathe peut faire une étude exhaustive sur le système ciblé, reconstituer des informations endommagées ou protégées, tirer des conclusions sur les causes de ses observations.;;;
74;sublist;Influence;Modification ou insertion d'information dans le système visé, sans observation aucune (toute information nécessaire doit déjà être en possession du télépathe) et sans réduction qualitative ou quantitative de l'efficacité de ses fonctions. Toute action agressive et délétère n'est PAS une Influence.;;;
75;0;Non nécessaire;Le Télépathe n’utilise pas la sous-liste Influence, soit parce que l’action n’implique pas de modification, soit parce que la modification en question est une Attaque.;;;
76;1;Suggestion simple;Le Télépathe implante une idée binaire et non-contraignante dans le système ciblé, une suggestion aisée à ignorer, qui peut surprendre mais ne peut pas gêner.;;;
77;2;Activation simple;Le Télépathe génère un stimulus subtil pouvant causer un léger effort de la part de la cible.;;;
78;3;Suggestion complexe;Le Télépathe implante une idée nuancée, conditionnelle, potentiellement linguistique, dans le système visé.;;;
79;4;Traduction nerveuse;Le Télépathe peut intercepter et modifier des informations en transit qui entrent et sortent du système visé.;;;
80;5;Modification durable;Le Télépathe implante un changement structurel durable, altérant une fonction sur le long terme, sans aucune forme de suppression ou de destruction.;;;
81;sublist;Attaque;Perturbation ou destruction de fonctions dans le système visé, sans observation aucune (toute information nécessaire doit déjà être en possession du télépathe). Sont inclues toutes les actions agressives et délétères.;;;
82;0;Non nécessaire;Le Télépathe n’utilise pas la sous-liste Attaque parce que l’action n’implique pas d’agression, de suppression, de ralentissement, et aucune conséquence directe invasive ou néfaste.;;;
83;1;Distraction;Le Télépathe implante dans le système visé un stimulus difficile à ignorer, mais simple et qui ne peut pas causer de désagrément.;;;
84;2;Engourdir;Le Télépathe cause momentanément un ralentissement ou une confusion dans le système visé.;;;
85;3;Occulter;Le Télépathe empêche momentanément le système visé de recevoir des informations.;;;
86;4;Surcharge;Le Télépathe peut implanter n’importe quel stimulus simple, qu’il soit contradictoire avec d’autres, contraignant ou douloureux.;;;
87;5;Détruire;Le Télépathe inflige des dommages permanents, supprime définitivement des informations ou amoindrit une fonction.;;;
88;sublist;Protection;Préservation ou augmentation d'une fonction du système visé, sans observation aucune (toute information nécessaire doit déjà être en possession du télépathe);;;
89;0;Non nécessaire;Le Télépathe n’utilise pas la sous-liste Protection parce que son action n’implique aucune augmentation, réparation ou préservation.;;;
90;1;Isolation;Le Télépathe peut empêcher les échanges dans le système visé pour protéger des influences externes.;;;
91;2;Stabilisation;Le Télépathe rétablit un système perturbé dans son fonctionnement sain et optimal, sans pouvoir réparer des dommages structurels.;;;
92;3;Préférence;Le Télépathe peut filtrer des échanges dans le système visé et émettre des conditions complexes pour le passages des informations, par exemple pour empêcher des entrées de natures néfastes.;;;
93;4;Stimulation;Le Télépathe facilite ou canalise les fonctions du système visé, augmentant ainsi son efficacité.;;;
94;5;Réparation;Le Télépathe reconstitue une fonction du système visé endommagée, lui rend ses propriétés intactes les plus récentes.;;;
95;mode;télékinésie;Discipline permettant d'explorer le monde physique par la pensée, de sélectionner des corps matériels et de leur appliquer des forces selon certains modes d'interaction. De la même manière qu'un individu peut bouger ses membres et donner une certaine qualité à ses geste, le télékinésiste peut étendre ce contrôle à son environnement;;;
96;list;Sélection;Sélection d'un corps matériel. La complexité, la distance, à la fois littérale que figurative, et le niveau d'énergie viennent influencer la capacité du télékinésiste à trouver sa cible dans l'espace;;;
97;sublist;Complexité;Niveau d'intrication, d'hétérogénéité structurelle d'un corps;;;
98;0;non nécessaire;sous-liste non pertinente;;;
99;1;Objet homogène;Matériau uniforme (bille, barre);;;
100;2;Objet composite;Plusieurs matériaux assemblés (chaise, outil);;;
101;3;Mécanisme simple;Pièces mobiles basiques (porte, levier);;;
102;4;Système complexe;Multiples composants interdépendants (horloge, serrure);;;
103;5;Organisme vivant;Tissus biologiques;;;
104;sublist;Proximité;Proximité sensorielle ou émotionnelle entre le télékinésiste et l'objet, comparable à l'importance de ce dernier dans le paysage psychologique du télékinésiste;;;
105;0;non nécessaire;sous-liste non pertinente;;;
106;1;Objet intime;manipulé tous les jours;au contact de la peau;;
107;2;Objet familier;objet spécifique souvent perçu;en ligne de vue directe proche (détails perceptibles);;
108;3;Objet connu;objet commun non-spécifique fréquemment utilisé;en ligne de vue directe lointaine;;
109;4;Objet distant;objet dont l’existence est connue;objet dont la localisation est connue;;
110;5;Objet inconnu;objet dont l’existence est inconnue (particules et cellules incluses);objet dont la localisation est inconnue;;
111;sublist;Matériel;Nature ou phase du ou des constituant d'un corps;;;
112;0;non nécessaire;sous-liste non pertinente;;;
113;1;Solides;Solides;;;
114;2;Liquides;Liquides;;;
115;3;Gaz;Gaz;;;
116;4;Matériaux;Matériaux;;;
117;5;Éléments;Éléments;;;
118;sublist;Énergie;Niveau d'excitation d'un corps, quantité d'énergie mécanique, thermique, chimique, ou instabilité nucléaire;;;
119;0;non nécessaire;sous-liste non pertinente;;;
120;1;Basse;cinétique et température basse, basse densité, faibles rayonnements;;;
121;2;Densité;objets denses;;;
122;3;Cinétique;objets lourds et/ou rapides;;;
123;4;Thermique;objets chauds;;;
124;5;Rayonnant;objets émettant des rayonnements spécifiques/particules;;;
125;list;Interaction;Nature de l'effet appliqué par le télékinésiste. L'échelle et la compléxité de l'effet sont les principales sources de la difficulté d'un interaction télékinétique;;;
126;sublist;Mécanique Différentielle;Application de forces macroscopiques complexes;;;
127;0;non nécessaire;sous-liste non pertinente;;;
128;1;Saisir;Forces multiples aux directions et intensités variables pour les tâches manuelles de base;;;
129;2;Cisailler;Forces opposées décalées de part et d’autre d’un plan central;;;
130;3;Comprimer;Forces uniformes dirigées vers un point central;;;
131;4;Exploser;Forces uniformes opposées à un point central;;;
132;5;Manipuler;Forces multiples aux directions et intensités variables pour les tâches minutieuses;;;
133;sublist;Mécanique Microscopique;Application de forces microscopiques complexes;;;
134;0;non nécessaire;sous-liste non pertinente;;;
135;1;Répandre;Dispersion contrôlée des éléments constitutifs dans l'espace environnant;;;
136;2;Extraire;Isolation et retrait ciblé de composants spécifiques;;;
137;3;Osciller;Induction de vibrations ou mouvements périodiques (sons, chaleur);;;
138;4;Recombiner;Réarrangement et réassemblage des éléments constitutifs selon de nouvelles configurations;;;
139;5;Désintégrer;Rupture complète des liaisons maintenant la cohésion de la matière;;;
140;sublist;Mécanique de Rayonnements;Manipulation de phénomènes électromagnétiques;;;
141;0;non nécessaire;sous-liste non pertinente;;;
142;1;Dévier;Modification de la trajectoire des rayonnements sans altération de leurs propriétés intrinsèques;;;
143;2;Diffuser;Dispersion spatiale multidirectionnelle des rayonnements;;;
144;3;Moduler;Altération contrôlée des propriétés des rayonnements (fréquence, intensité, phase, polarisation);;;
145;4;Absorber;Capture et neutralisation totale ou partielle des rayonnements;;;
146;5;Concentrer;Focalisation et intensification spatiale des rayonnements vers un point ou volume réduit;;;
147;sublist;Mécanique Basique;Application de forces simples à n'importe quelle échelle;;;
148;0;non nécessaire;sous-liste non pertinente;;;
149;1;Attirer;Force ramenant l’objet vers la main du parapsy;;;
150;2;Lancer;Force unique déplaçant l’objet dans n’importe quelle direction;;;
151;3;Mitrailler;Comme « Attirer » et « Lancer » mais avec plusieurs objets dont la sélection est identique;;;
152;4;Fixer;Rendre constante la distance entre deux objets sélectionnés;;;
153;5;Tordre;Force rotatives autour d’un point central;;;
154;sublist;Mécanique Spatiale;Manipulation dimensionnelle du corps sélectionné;;;
155;0;non nécessaire;sous-liste non pertinente;;;
156;1;Déformer;Modification des proportions d’un objet selon un ou plusieurs axes (si personne déformée, réduction des distances);;;
157;2;Visiter;Sans échange massique équivalent, déplacement éphémère de l’objet dans un lieu sélectionné de la même manière qu’un potentiel objet par la liste « proximité »;;;
158;3;Échanger;Avec un échange de masse équivalent, déplacement définitif;;;
159;4;Grouper;Listes précédentes possibles avec plusieurs objets dont la sélection est identique;;;
160;5;Disparaître;Accès au non-espace, transport possible via les options précédentes dans une dimension où le temps ne se déroule pas. Définitif impossible car pas de matière à échanger sur place;;;
161;list;Application;Modalités de l'action télékinétique. Vient proposer différentes options relatives à l'intensité, la temporalité, et l'énergie nécessaire à l'effet télékinétique;;;
162;sublist;Intensité;Quantité maximum d'effort applicable par le télékinésiste;;;
163;0;non nécessaire;sous-liste non pertinente;;;
164;1;Analyse;Force minimale à visée diagnostique et exploratoire;;;
165;2;Faible;Force de manipulation délicate;;;
166;3;Moyenne;Force d'usage courant et contrôlé;;;
167;4;Forte;Force d'impact significatif et d'effet marqué;;;
168;5;Brutale;Force maximale aux effets destructeurs;;;
169;sublist;Temporalité;Durée et modalités limitant l'action du télékinésiste au cours du temps;;;
170;0;non nécessaire;sous-liste non pertinente;;;
171;1;Force éphémère;L’interaction s’arrête après un laps de temps;;;
172;2;Force continue;L’interaction est maintenue tant que le télékinésiste est concentré;;;
173;3;Force instantanée;Pic d'énergie unique très bref;;;
174;4;Force libre;s’allume et s’éteint au gré du télékinésiste, sans test supplémentaire;;;
175;5;Force définitive;Pas de limite temporelle (télékinésiste conscient);;;
176;sublist;Déclenchement;Modalités liées à l'activation de la faculté;;;
177;0;non nécessaire;sous-liste non pertinente;;;
178;1;Déclenchement immédiat;Base, déclenchement au moment où la faculté est conçue;;;
179;2;Déclenchement retardé;Déclenchement après durée déterminée;;;
180;3;Déclenchement séquentiel;Activation synchronisée de plusieurs effets;;;
181;4;Déclenchement simultané;Activation planifiée de plusieurs effets;;;
182;5;Déclenchement automatique;Activation conditionnelle lors d'un événement spécifique (contact, proximité, etc.);;;
183;sublist;Source;Options de sources d'énergies pour la faculté télékinétique;;;
184;0;non nécessaire;sous-liste non pertinente;;;
185;1;Énergie personnelle;Le corps du Parapsy fournit l’énergie via ses muscles;;;
186;2;Énergie relative; L’énergie est copiée d’un autre objet (même propriétés);;;
187;3;Énergie transformée;L’énergie provient du corps du parapsy ou d’un second objet, mais les directions peuvent être contrôlées (conversion des propriétés);;;
188;4;Énergie multiple;L’énergie provient de plusieurs corps physiques;;;
189;5;Énergie psychique;La totalité de l’énergie est issue de la psyché du parapsy, aucune copie d’objet réel n’est nécessaire;;;
